video_id,hand,mean,median,p95
IMG_8232_15fps,Right,0.16132857168422027,0.16125507652759552,0.3304349064826965
IMG_8233_15fps,Right,0.16197304534060614,0.18581531941890717,0.22595404386520385
IMG_8234_15fps,Left,0.11984512422766004,0.08152031153440475,0.259539783000946
IMG_8234_15fps,Right,0.11845893505960703,0.13797080516815186,0.19536588937044144
IMG_8235_15fps,Left,0.11474585719406605,0.0869864709675312,0.19875158742070198
IMG_8235_15fps,Right,0.13982432495270455,0.17344452440738678,0.21723536252975462
IMG_8236_15fps,Left,0.10250027924776077,0.09902817755937576,0.16710875034332273
IMG_8236_15fps,Right,0.13096427048246065,0.1475657969713211,0.21303204894065855
IMG_8237_15fps,Left,0.08335227625710624,0.07423235103487968,0.17164757922291754
IMG_8237_15fps,Right,0.07825302580992381,0.0596802718937397,0.15287875607609744
IMG_8239_15fps,Left,0.054882717451878955,0.044643767178058624,0.10224321857094762
IMG_8239_15fps,Right,0.17137401449409398,0.18163516372442245,0.28477764427661895
IMG_8240_15fps,Left,0.09133336979609269,0.05276951566338539,0.23610344827175134
IMG_8240_15fps,Right,0.07666910575194792,0.045307569205760956,0.19734537601470947
IMG_8241_15fps,Left,0.0695060860986511,0.052488360553979874,0.13648007661104197
IMG_8241_15fps,Right,0.10873696870274013,0.04516322910785675,0.23257376849651332
IMG_8242_15fps,Left,0.2732571086713246,0.23174789547920227,0.4219996392726898
IMG_8242_15fps,Right,0.09346412618954976,0.09227527678012848,0.10999964773654937
IMG_8243_15fps,Left,0.055889620631933215,0.05501456744968891,0.059955085255205626
IMG_8243_15fps,Right,0.15060547068715097,0.1327778846025467,0.2563161864876747
IMG_8244_15fps,Left,0.12555737296740213,0.1370842009782791,0.14304514229297638
IMG_8244_15fps,Right,0.14369944076646457,0.13828830420970917,0.17863506823778152
IMG_8307_15fps,Left,0.14992527498139274,0.14647677540779114,0.264905409514904
IMG_8307_15fps,Right,0.05373642338733924,0.05221312865614891,0.0712543711066246
IMG_8308_15fps,Left,0.10762138180434704,0.0925915315747261,0.1822868324816227
IMG_8308_15fps,Right,0.07005277741700411,0.0636037215590477,0.12550144866108895
IMG_8309_15fps,Left,0.11657863154130824,0.07608618587255478,0.27393810749053954
IMG_8309_15fps,Right,0.05578126539202297,0.058977071195840836,0.0738197311758995
IMG_8310_15fps,Left,0.13841618560254573,0.07005993649363518,0.3033139437437058
IMG_8310_15fps,Right,0.059431022653977074,0.050506625324487686,0.09488342180848121
IMG_8311_15fps,Left,0.14035211166455633,0.08999910205602646,0.26801797747612
IMG_8311_15fps,Right,0.060318178652475275,0.05040401592850685,0.08312327973544598
IMG_8313_15fps,Left,0.10562578588724136,0.05849061533808708,0.2677381068468093
IMG_8313_15fps,Right,0.10355088710784913,0.0780305340886116,0.22385009229183198
IMG_8314_15fps,Left,0.07794346829706972,0.059818848967552185,0.15995758771896362
IMG_8314_15fps,Right,0.05681626920898755,0.037096209824085236,0.15398501008749
IMG_8315_15fps,Left,0.10617816380479118,0.06538573652505875,0.25229837000370026
IMG_8315_15fps,Right,0.10512964935465292,0.05442194640636444,0.24081692099571228
IMG_8316_15fps,Left,0.12607959368162686,0.1178828664124012,0.17139694690704346
IMG_8316_15fps,Right,0.07842403194970554,0.07707316055893898,0.1112499229609966
IMG_8317_15fps,Left,0.12132939899509604,0.13017871230840683,0.18369832336902617
IMG_8317_15fps,Right,0.07224651375277476,0.07781930640339851,0.10138427019119262
IMG_8318_15fps,Left,0.08937451019883155,0.08573746681213379,0.11872385405004025
IMG_8318_15fps,Right,0.06697980258613825,0.07351018115878105,0.09554681926965715
IMG_8319_15fps,Left,0.1568014614961364,0.11459531635046005,0.3321142420172691
IMG_8319_15fps,Right,0.11205446761515406,0.07999036461114883,0.23066692650318146
IMG_8320_15fps,Left,0.08223877581102508,0.06163428723812103,0.18123520538210866
IMG_8320_15fps,Right,0.08480173721909523,0.0484736580401659,0.20601863563060752
IMG_8321_15fps,Left,0.14151355916900293,0.061402350664138794,0.3466959923505783
IMG_8321_15fps,Right,0.06667920303615657,0.04360774904489517,0.16209416463971138
IMG_8322_15fps,Left,0.09046499162084526,0.08703650161623955,0.13380680605769157
IMG_8322_15fps,Right,0.056661833077669144,0.04952268302440643,0.07350718043744564
IMG_8323_15fps,Left,0.13094527274370193,0.11487792804837227,0.2021126516163348
IMG_8323_15fps,Right,0.08764159679412842,0.08270016312599182,0.12396777458488953
IMG_8324_15fps,Left,0.1344149169676444,0.12142744660377502,0.2212187647819518
IMG_8324_15fps,Right,0.07925364002585411,0.07785933092236519,0.09240039288997659
IMG_8347_15fps,Left,0.15529886477937302,0.10805971547961235,0.34059940874576566
IMG_8347_15fps,Right,0.1671146396547556,0.1596365123987198,0.2665448501706123
IMG_8348_15fps,Left,0.42418956756591797,0.42418956756591797,0.42418956756591797
IMG_8349_15fps,Left,0.20678107142448426,0.20629766583442688,0.2377532422542572
IMG_8349_15fps,Right,0.059075220674276355,0.04416895471513271,0.11946286968886864
IMG_8350_15fps,Left,0.19437901620511655,0.1309618204832077,0.3567619413137436
IMG_8350_15fps,Right,0.05520210166772207,0.04219694994390011,0.13105704486370076
IMG_8351_15fps,Left,0.1764847424167853,0.18606465309858322,0.275511771440506
IMG_8351_15fps,Right,0.06724254228174686,0.04334341548383236,0.16369259357452398
IMG_8352_15fps,Left,0.16566792522606097,0.15283410251140594,0.252843518555164
IMG_8352_15fps,Right,0.09178938054376179,0.07739413902163506,0.1457874149084089
IMG_8353_15fps,Left,0.10369509110848109,0.08766967803239822,0.17252134829759597
IMG_8353_15fps,Right,0.060390983770291014,0.06249925494194031,0.08335120677947998
IMG_8354_15fps,Left,0.14289217384961936,0.10258965939283371,0.3265136003494263
IMG_8354_15fps,Right,0.06989823083082834,0.06343340128660202,0.11289841458201408
IMG_8355_15fps,Left,0.059170109434769705,0.050521429628133774,0.09715460985898959
IMG_8355_15fps,Right,0.0522154844724215,0.04499824345111847,0.09430046081542959
IMG_8356_15fps,Left,0.10145474390851127,0.0653131902217865,0.23750907778739924
IMG_8356_15fps,Right,0.08323530222360905,0.04245465248823166,0.18156539499759666
IMG_8357_15fps,Left,0.16143278984559906,0.13581418618559837,0.31870106309652324
IMG_8357_15fps,Right,0.1074642576277256,0.10272376239299774,0.2192950092256069
IMG_8358_15fps,Left,0.12270034073541562,0.09797831624746323,0.24019616395235058
IMG_8358_15fps,Right,0.08891059861828883,0.08519859239459038,0.15707197040319437
IMG_8359_15fps,Left,0.1654022906262141,0.14379477500915527,0.3073736190795898
IMG_8359_15fps,Right,0.07261376512738374,0.05531933531165123,0.11889309585094451
IMG_8360_15fps,Left,0.21490186899900438,0.18443767726421356,0.37577764689922316
IMG_8360_15fps,Right,0.11738994055324131,0.09203700721263885,0.23029735088348385
IMG_8361_15fps,Left,0.21817397326231003,0.22831473499536514,0.3366081357002258
IMG_8361_15fps,Right,0.1041425496339798,0.1027558483183384,0.13061994835734364
IMG_8362_15fps,Left,0.3320566534996033,0.32896387577056885,0.37571312189102174
IMG_8362_15fps,Right,0.19244646919625147,0.18713626265525818,0.287594524025917
IMG_8363_15fps,Left,0.14744409900158645,0.08252331614494324,0.3106068894267082
IMG_8363_15fps,Right,0.0812912689788001,0.04872102290391922,0.22105456441640853
IMG_8364_15fps,Left,0.07205189888676007,0.043912455439567566,0.18444919586181635
IMG_8364_15fps,Right,0.07003298360440466,0.04091814532876015,0.18849095106124872
IMG_8365_15fps,Left,0.15890110423788428,0.2107241004705429,0.31713153421878815
IMG_8365_15fps,Right,0.11489159194752574,0.06399046629667282,0.22598494216799736
IMG_8366_15fps,Left,0.08458097783081672,0.04288974776864052,0.2614762604236602
